"id","name","is_structure","is_company","structure_type","category_id/id","structure_capacity","city","country_id/id","facebook","instagram"
"venue_1","Akwaba",1,1,"venue","band_booking.venue_tag","sup1k","Châteauneuf de Gadagne","base.fr","https://www.facebook.com/cooperative.akwaba/",
"venue_2","Espace Julien",1,1,"venue","band_booking.venue_tag","sup1k","Marseille","base.fr",,
"venue_3","Insel der Jugend",1,1,"venue","band_booking.venue_tag",,"Magdeburg","base.de",,
"venue_4","L'alimentation Générale",1,1,"venue","band_booking.venue_tag,band_booking.small_fee_tag","inf1k","Paris","base.fr","https://www.facebook.com/lalimentation.generale/",
"venue_5","La pleine lune",1,1,"venue","band_booking.venue_tag,band_booking.small_fee_tag","inf1k","Montpellier","base.fr","https://www.facebook.com/LaPleineLuneMtp",
"venue_6","Le Chinois",1,1,"venue","band_booking.venue_tag,band_booking.small_fee_tag","inf1k","Montreuil","base.fr","https://www.facebook.com/lechinoisdemontreuil/",
"venue_7","Le Makeda",1,1,"venue","band_booking.venue_tag,band_booking.small_fee_tag","inf1k","Marseille","base.fr","https://www.facebook.com/lemakeda/",
"venue_8","Le Molotov",1,1,"venue","band_booking.venue_tag,band_booking.small_fee_tag","inf1k","Marseille","base.fr","https://www.facebook.com/LemolotovMarseille/",
"venue_9","Les Grands Voisins",1,1,"venue","band_booking.venue_tag,band_booking.acoustic_tag","sup1k","Paris","base.fr","https://www.facebook.com/lesgrandsvoisins/",
"venue_10","Mundo Pensante",1,1,"venue","band_booking.venue_tag","inf1k","São Paulo","base.br","https://www.facebook.com/mpensante","https://www.instagram.com/mundopensante/"
"venue_11","NAU - Núcleo de Ativação Urbana",1,1,"venue","band_booking.venue_tag","sup1k","Rio de Janeiro","base.br",,
"venue_12","Nouveau Monde",1,1,"venue","band_booking.venue_tag","inf1k","Fribourg","base.ch",,
"venue_13","Pier On",1,1,"venue","band_booking.venue_tag","sup1k","Rio de Janeiro","base.br",,
"venue_14","Studio de l'Ermitage",1,1,"venue","band_booking.venue_tag","inf1k","Paris","base.fr","https://www.facebook.com/Studio.de.lErmitage/",
"venue_15","Toï Toï le zinc",1,1,"venue","band_booking.venue_tag,band_booking.small_fee_tag","inf1k","Villeurbanne","base.fr",,
